EMIS Code,SchoolName,Year,Gender,LEVEL,District,Tehsil,UCName,BuildingOwnerShip,TotalLand_Allocated,Year of Estbalishment,Year of Construction,Covered_Area,UnCovered_Area,UnCovered_Area_Premis,Whole Building Needs Reconstruction,No of Class Room Need Reconstruction,No of Other Room Need Reconstruction,No of Class Room Need Repair,No of Other Room Need Repair,HT Office,Science Lab,Staff Room,Library,Hostel Availability,Hostel Capacity,Hostel Rooms,Clerk Room,Play Ground/Area,Play Area,No of Pakka Class Rooms,No. Of Pakka Other Rooms,No. of Kacha Class Rooms,No of Kacha Other Rooms,CCTVCameras,ExaminationHall,Ramp Access at Entrance,Ramp Access in Building,Ramp at Toilet,School Name,School Level,Union Council Name,Desks Two Seater Useable,Desks Two Seater Un-Useable,Desks Two Seater New Required,Desks Three Seater Useable,Desks Three Seater Un-Useable,Desks Three Seater New Required,Desk Benches Useable,Desk Benches Un-Useable,Desk Benches New Required,Student Chairs Useable,Student Chairs Un-Useable,Student Chairs New Required,Tablet Chairs Useable,Tablet Chairs Un-Useable,Tablet Chairs New Required,Jute Tats Useable,Jute Tats Un-Useable,Jute Tats New Required,Fans Useable,Fans Un-Useable,Fans New Required,total_teachers,avg_bps_teachers,qualified_teachers,total_non_teachers,Presentbalance,Fund Recieved from Govt in This Year,is_critical
60923,GGPS SRA KHPA,2024-25,Girls,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,40.0,1993.0,1990.0,10.0,30.0,30.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/NonFunctional,2,0,0,0,No,No,Yes,No,No,GGPS SRA KHPA,Primary,EKKA GHUND,0,0,0,0,0,0,0,0,0,0,0,0,400,0,60,2,0,0,3,0,3,2.0,15.0,0.0,,190000.0,0.0,1
60924,GGPS WADAN SHAH,2024-25,Girls,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,13.0,1996.0,1995.0,5.0,8.0,8.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/NonFunctional,2,0,0,0,No,No,No,No,No,GGPS WADAN SHAH,Primary,EKKA GHUND,0,0,40,0,0,0,0,0,40,0,0,0,23,2,0,3,0,0,6,0,0,2.0,15.0,0.0,2.0,0.0,0.0,1
60925,GGPS SUR BRIDGE,2024-25,Girls,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,40.0,2011.0,2012.0,7.0,33.0,33.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/NonFunctional,3,0,0,0,No,No,Yes,No,No,GGPS SUR BRIDGE,Primary,EKKA GHUND,5,0,86,0,0,0,5,0,86,0,0,0,0,0,0,0,0,0,0,6,9,3.0,13.0,0.0,2.0,1200.0,0.0,1
60926,GPS KARIRAI,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,41.0,1974.0,1974.0,16.0,25.0,25.0,No,0.0,0.0,0.0,0.0,Yes,Not Available,No,Not Available,No,0,0,No,No,Not Available,6,1,0,0,No,No,Yes,No,No,GPS KARIRAI,Primary,EKKA GHUND,100,20,0,0,0,0,115,3,0,0,0,0,0,0,0,2,0,0,23,2,2,1.0,15.0,0.0,1.0,601000.0,100000.0,1
60927,IHC NAJEEB ULLAH,2024-25,Girls,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,2.0,1975.0,1975.0,2.0,,,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,1,0,0,0,No,No,No,No,No,IHC NAJEEB ULLAH,Primary,EKKA GHUND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15.0,0.0,1.0,0.0,0.0,1
60928,GPS MALOOK KORE,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,10.0,1991.0,1990.0,7.0,3.0,3.0,Yes,,,,,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,2,0,0,0,No,No,No,No,No,GPS MALOOK KORE,Primary,EKKA GHUND,0,0,0,0,0,0,0,0,0,0,0,0,5,0,48,2,0,0,0,0,6,2.0,13.5,0.0,1.0,0.0,0.0,1
60929,GPS SURKHA KRAPA,2024-25,Boys,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,40.0,1976.0,1975.0,5.0,35.0,35.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,2,0,0,0,No,No,Yes,Yes,Yes,GPS SURKHA KRAPA,Primary,PANDIALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,6,0,2,2.0,15.0,0.0,1.0,10938.0,0.0,1
60930,GPS SIKANDAR KHEL,2024-25,Boys,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,36.0,1976.0,1977.0,7.0,29.0,29.0,No,2.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,3,0,0,0,No,No,No,No,No,GPS SIKANDAR KHEL,Primary,PANDIALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,6,3,2,2.0,15.0,0.0,1.0,664.0,0.0,1
60931,GPS ISMAIL SHER,2024-25,Boys,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,7.0,1991.0,1990.0,4.0,3.0,3.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,2,0,0,0,No,No,No,No,No,GPS ISMAIL SHER,Primary,PANDIALI,0,0,0,0,0,0,0,0,0,0,0,0,30,0,119,0,0,0,6,1,1,2.0,15.0,0.0,1.0,2287.0,0.0,1
60932,GPS RAWAILI  KORE,2024-25,Boys,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,36.0,1974.0,1972.0,10.0,26.0,26.0,Yes,,,,,No,Not Available,No,Not Available,No,0,0,No,No,Available/NonFunctional,4,0,0,0,No,No,No,No,No,GPS RAWAILI  KORE,Primary,PANDIALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,16,2.0,13.5,0.0,1.0,1627.0,0.0,1
